event_id,date,account_id,entitlement,action,requester_id,ticket_id,ticket_status,approver_id
CHG-00146,2025-07-01,ad.e0850,AD:user,grant,E0918,REQ-20146,Approved,E0436
CHG-00265,2025-07-03,hris.e0295,*,disable,E0334,REQ-20265,Approved,E0334
CHG-00264,2025-07-03,ad.e0295,*,disable,E0334,REQ-20264,Approved,E0436
CHG-00124,2025-07-06,erp.e0577,ERP:po_create,grant,E0933,REQ-20124,Approved,E0101
CHG-00125,2025-07-06,erp.e0577,ERP:gl_reporting,grant,E0933,REQ-20125,Approved,E0101
CHG-00380,2025-07-07,ad.e1133,*,disable,E0334,REQ-20380,Approved,E0436
CHG-00301,2025-07-09,ad.e0490,*,disable,E0334,REQ-20301,Approved,E0436
CHG-00340,2025-07-10,ad.e0932,*,disable,E0334,REQ-20340,Approved,E0436
CHG-00046,2025-07-11,erp.e0272,ERP:vendor_view,grant,E0280,REQ-20046,Approved,E0101
CHG-00045,2025-07-11,erp.e0272,ERP:vendor_create,grant,E0280,REQ-20045,Approved,E0101
CHG-00044,2025-07-11,ad.e0272,AD:user,grant,E0280,REQ-20044,Approved,E0436
CHG-00341,2025-07-11,erp.e0932,*,disable,E0334,REQ-20341,Approved,E0101
CHG-00342,2025-07-14,ad.e0934,*,disable,E0334,REQ-20342,Approved,E0436
CHG-00343,2025-07-15,erp.e0934,*,disable,E0334,REQ-20343,Approved,E0101
CHG-00230,2025-07-17,ad.e0074,*,disable,E0334,REQ-20230,Approved,E0436
CHG-00231,2025-07-17,erp.e0074,*,disable,E0334,REQ-20231,Approved,E0101
CHG-00101,2025-07-17,erp.e0460,ERP:sap_all,grant,E0379,REQ-20101,Approved,E0101
CHG-00221,2025-07-21,erp.e0020,*,disable,E0334,REQ-20221,Approved,E0101
CHG-00220,2025-07-22,ad.e0020,*,disable,E0334,REQ-20220,Approved,E0436
CHG-00117,2025-07-30,erp.e0544,ERP:po_create,grant,E0901,REQ-20117,Approved,E0101
CHG-00118,2025-07-30,erp.e0544,ERP:gl_reporting,grant,E0901,REQ-20118,Approved,E0101
CHG-00330,2025-08-04,ad.e0839,*,disable,E0334,REQ-20330,Approved,E0436
CHG-00056,2025-08-05,erp.e0291,ERP:vendor_view,grant,E0269,REQ-20056,Approved,E0101
CHG-00055,2025-08-05,erp.e0291,ERP:vendor_create,grant,E0269,REQ-20055,Approved,E0101
CHG-00054,2025-08-06,ad.e0291,AD:user,grant,E0269,REQ-20054,Approved,E0291
CHG-00283,2025-08-06,ad.e0394,*,disable,E0334,REQ-20283,Approved,E0436
CHG-00206,2025-08-06,ad.e1159,AD:user,grant,E1121,REQ-20206,Approved,E0436
CHG-00366,2025-08-06,ad.e1032,*,disable,E0334,REQ-20366,Approved,E0436
CHG-00367,2025-08-06,erp.e1032,*,disable,E0334,REQ-20367,Approved,E0101
CHG-00242,2025-08-08,ad.e0186,*,disable,E0334,REQ-20242,Approved,E0436
CHG-00243,2025-08-08,erp.e0186,*,disable,E0334,REQ-20243,Approved,E0101
CHG-00217,2025-08-11,payroll.e0311,PAYROLL:payroll_run,grant,E0377,REQ-20217,Approved,E0372
CHG-00142,2025-08-11,ad.e0821,AD:user,grant,E0920,REQ-20142,Approved,E0436
CHG-00094,2025-08-12,ad.e0409,AD:helpdesk,grant,E0379,REQ-20094,Approved,E0436
CHG-00093,2025-08-12,ad.e0409,AD:user,grant,E0379,,,
CHG-00203,2025-08-12,ad.e1128,AD:user,grant,E1121,REQ-20203,Approved,E0436
CHG-00173,2025-08-18,erp.e0987,ERP:customer_view,grant,E1001,REQ-20173,Approved,E0101
CHG-00174,2025-08-18,erp.e0987,ERP:ar_receipts,grant,E1001,REQ-20174,Approved,E0101
CHG-00249,2025-08-18,erp.e0213,*,disable,E0334,REQ-20249,Approved,E0101
CHG-00172,2025-08-18,ad.e0987,AD:user,grant,E1001,REQ-20172,Approved,E0436
CHG-00297,2025-08-18,erp.e0471,*,disable,E0334,REQ-20297,Approved,E0101
CHG-00248,2025-08-19,ad.e0213,*,disable,E0334,REQ-20248,Approved,E0436
CHG-00296,2025-08-19,ad.e0471,*,disable,E0334,REQ-20296,Approved,E0436
CHG-00210,2025-08-22,erp.e1025,ERP:vendor_view,grant,E0983,REQ-20210,Approved,E0101
CHG-00004,2025-08-22,erp.e0019,ERP:customer_view,grant,E0197,REQ-20004,Approved,E0101
CHG-00003,2025-08-22,erp.e0019,ERP:ar_receipts,grant,E0197,REQ-20003,Approved,E0101
CHG-00160,2025-08-23,ad.e0940,AD:user,grant,E0955,REQ-20160,Approved,E0436
CHG-00162,2025-08-24,erp.e0940,ERP:ar_receipts,grant,E0955,REQ-20162,Approved,E0101
CHG-00161,2025-08-24,erp.e0940,ERP:customer_view,grant,E0955,REQ-20161,Approved,E0101
CHG-00151,2025-08-26,ad.e0881,AD:user,grant,E0910,REQ-20151,Approved,E0436
CHG-00373,2025-08-26,erp.e1098,*,disable,E0334,REQ-20373,Approved,E0101
CHG-00372,2025-08-27,ad.e1098,*,disable,E0334,REQ-20372,Approved,E0436
CHG-00020,2025-08-27,erp.e0123,ERP:gl_reporting,grant,E0190,,,
CHG-00019,2025-08-27,erp.e0123,ERP:gl_journal_post,grant,E0190,,,
CHG-00386,2025-08-28,ad.e1176,*,disable,E0334,REQ-20386,Approved,E0436
CHG-00123,2025-08-30,ad.e0575,AD:user,grant,E0904,,,
CHG-00033,2025-08-31,erp.e0176,ERP:gl_reporting,grant,E0193,REQ-20033,Approved,E0101
CHG-00032,2025-08-31,erp.e0176,ERP:gl_journal_post,grant,E0193,REQ-20032,Approved,E0101
