account_id,system,employee_id,account_type,created_on,enabled,disabled_on,last_logon
ad.e0001,AD,E0001,personal,2012-11-16,True,,2026-06-29
erp.e0001,ERP,E0001,personal,2012-11-16,True,,2026-06-29
ad.e0002,AD,E0002,personal,2015-08-31,True,,2026-06-25
erp.e0002,ERP,E0002,personal,2015-08-30,True,,2026-06-25
ad.e0003,AD,E0003,personal,2014-12-15,True,,2026-06-22
erp.e0003,ERP,E0003,personal,2014-12-14,True,,2026-06-28
ad.e0004,AD,E0004,personal,2020-03-30,True,,2026-06-30
erp.e0004,ERP,E0004,personal,2020-03-29,True,,2026-06-30
ad.e0005,AD,E0005,personal,2013-07-01,False,2026-03-24,2026-02-12
erp.e0005,ERP,E0005,personal,2013-07-03,False,2026-03-24,2026-02-14
ad.e0006,AD,E0006,personal,2018-07-27,True,,2026-06-22
erp.e0006,ERP,E0006,personal,2018-07-28,True,,2026-06-30
ad.e0007,AD,E0007,personal,2025-03-09,True,,2026-06-27
erp.e0007,ERP,E0007,personal,2025-03-09,True,,2026-06-30
ad.e0008,AD,E0008,personal,2017-04-24,True,,2026-06-28
erp.e0008,ERP,E0008,personal,2017-04-25,True,,2026-06-22
ad.e0009,AD,E0009,personal,2014-05-31,True,,2026-06-29
erp.e0009,ERP,E0009,personal,2014-05-31,True,,2026-06-30
ad.e0010,AD,E0010,personal,2014-02-05,True,,2026-06-27
erp.e0010,ERP,E0010,personal,2014-02-05,True,,2026-06-30
ad.e0011,AD,E0011,personal,2016-06-12,True,,2026-06-30
erp.e0011,ERP,E0011,personal,2016-06-10,True,,2026-06-30
ad.e0012,AD,E0012,personal,2022-08-21,False,2025-04-18,2025-04-14
erp.e0012,ERP,E0012,personal,2022-08-22,False,2025-04-21,2025-04-16
ad.e0013,AD,E0013,personal,2014-08-19,True,,2026-06-25
erp.e0013,ERP,E0013,personal,2014-08-19,True,,2026-06-27
ad.e0014,AD,E0014,personal,2024-11-09,True,,2026-06-29
erp.e0014,ERP,E0014,personal,2024-11-09,True,,2026-06-30
ad.e0015,AD,E0015,personal,2021-01-01,True,,2026-06-28
erp.e0015,ERP,E0015,personal,2020-12-31,True,,2026-06-22
ad.e0016,AD,E0016,personal,2024-02-19,True,,2026-06-29
erp.e0016,ERP,E0016,personal,2024-02-20,True,,2026-06-22
ad.e0017,AD,E0017,personal,2015-02-18,True,,2026-06-29
erp.e0017,ERP,E0017,personal,2015-02-18,True,,2026-06-16
ad.e0018,AD,E0018,personal,2022-10-02,True,,2026-06-16
erp.e0018,ERP,E0018,personal,2022-10-04,True,,2026-06-30
ad.e0019,AD,E0019,personal,2014-09-26,True,,2026-06-28
erp.e0019,ERP,E0019,personal,2014-09-28,True,,2026-06-30
ad.e0020,AD,E0020,personal,2018-06-10,False,2025-07-22,2025-07-19
erp.e0020,ERP,E0020,personal,2018-06-10,False,2025-07-21,2025-07-20
ad.e0021,AD,E0021,personal,2017-10-01,False,2020-01-28,2020-01-25
erp.e0021,ERP,E0021,personal,2017-09-30,False,2020-01-28,2020-01-27
ad.e0022,AD,E0022,personal,2024-09-06,True,,2026-06-29
erp.e0022,ERP,E0022,personal,2024-09-05,True,,2026-06-29
ad.e0023,AD,E0023,personal,2018-10-13,False,2022-03-02,2022-02-27
erp.e0023,ERP,E0023,personal,2018-10-12,False,2022-03-02,2022-03-02
ad.e0024,AD,E0024,personal,2024-07-20,True,,2026-06-30
erp.e0024,ERP,E0024,personal,2024-07-22,True,,2026-06-28
