account_id,entitlement,granted_on
ad.e0001,AD:user,2012-11-16
erp.e0001,ERP:ap_invoice_entry,2012-11-16
erp.e0001,ERP:vendor_view,2012-11-16
ad.e0002,AD:user,2015-08-31
erp.e0002,ERP:ap_invoice_entry,2015-08-30
erp.e0002,ERP:vendor_view,2015-08-30
ad.e0003,AD:user,2014-12-15
erp.e0003,ERP:ap_invoice_entry,2014-12-14
erp.e0003,ERP:vendor_view,2014-12-14
ad.e0004,AD:user,2020-03-30
erp.e0004,ERP:ap_invoice_entry,2020-03-29
erp.e0004,ERP:vendor_view,2020-03-29
ad.e0005,AD:user,2013-07-01
erp.e0005,ERP:ap_invoice_entry,2013-07-03
erp.e0005,ERP:vendor_view,2013-07-03
ad.e0006,AD:user,2018-07-27
erp.e0006,ERP:ap_invoice_entry,2018-07-28
erp.e0006,ERP:vendor_view,2018-07-28
ad.e0007,AD:user,2025-03-09
erp.e0007,ERP:ap_invoice_entry,2025-03-09
erp.e0007,ERP:vendor_view,2025-03-09
ad.e0008,AD:user,2017-04-24
erp.e0008,ERP:ap_invoice_entry,2017-04-25
erp.e0008,ERP:vendor_view,2017-04-25
ad.e0009,AD:user,2014-05-31
erp.e0009,ERP:ap_invoice_entry,2014-05-31
erp.e0009,ERP:vendor_view,2014-05-31
ad.e0010,AD:user,2014-02-05
erp.e0010,ERP:ap_invoice_entry,2014-02-05
erp.e0010,ERP:vendor_view,2014-02-05
ad.e0011,AD:user,2016-06-12
erp.e0011,ERP:ap_invoice_entry,2016-06-10
erp.e0011,ERP:vendor_view,2016-06-10
ad.e0012,AD:user,2022-08-21
erp.e0012,ERP:ap_invoice_entry,2022-08-22
erp.e0012,ERP:vendor_view,2022-08-22
ad.e0013,AD:user,2014-08-19
erp.e0013,ERP:ap_invoice_entry,2014-08-19
erp.e0013,ERP:vendor_view,2014-08-19
ad.e0014,AD:user,2024-11-09
erp.e0014,ERP:ar_receipts,2025-10-17
erp.e0014,ERP:customer_view,2025-10-17
ad.e0015,AD:user,2021-01-01
erp.e0015,ERP:ap_invoice_entry,2020-12-31
erp.e0015,ERP:vendor_view,2020-12-31
ad.e0016,AD:user,2024-02-19
erp.e0016,ERP:ap_invoice_entry,2024-02-20
erp.e0016,ERP:vendor_view,2024-02-20
ad.e0017,AD:user,2015-02-18
erp.e0017,ERP:ap_invoice_entry,2015-02-18
erp.e0017,ERP:vendor_view,2015-02-18
ad.e0018,AD:user,2022-10-02
erp.e0018,ERP:ap_invoice_entry,2022-10-04
erp.e0018,ERP:vendor_view,2022-10-04
ad.e0019,AD:user,2014-09-26
erp.e0019,ERP:ar_receipts,2025-08-22
erp.e0019,ERP:customer_view,2025-08-22
ad.e0020,AD:user,2018-06-10
erp.e0020,ERP:ap_invoice_entry,2018-06-10
erp.e0020,ERP:vendor_view,2018-06-10
ad.e0021,AD:user,2017-10-01
erp.e0021,ERP:ap_invoice_entry,2017-09-30
erp.e0021,ERP:vendor_view,2017-09-30
ad.e0022,AD:user,2024-09-06
erp.e0022,ERP:ap_invoice_entry,2024-09-05
erp.e0022,ERP:vendor_view,2024-09-05
ad.e0023,AD:user,2018-10-13
erp.e0023,ERP:ap_invoice_entry,2018-10-12
erp.e0023,ERP:vendor_view,2018-10-12
ad.e0024,AD:user,2024-07-20
erp.e0024,ERP:ap_invoice_entry,2024-07-22
erp.e0024,ERP:vendor_view,2024-07-22
ad.e0025,AD:user,2020-06-12
erp.e0025,ERP:ap_invoice_entry,2020-06-10
erp.e0025,ERP:vendor_view,2020-06-10
ad.e0026,AD:user,2012-08-26
erp.e0026,ERP:ap_invoice_entry,2012-08-26
erp.e0026,ERP:vendor_view,2012-08-26
ad.e0027,AD:user,2018-11-19
erp.e0027,ERP:ap_invoice_entry,2018-11-19
erp.e0027,ERP:vendor_view,2018-11-19
ad.e0028,AD:user,2015-04-29
erp.e0028,ERP:ap_invoice_entry,2015-04-30
erp.e0028,ERP:vendor_view,2015-04-30
ad.e0029,AD:user,2012-05-14
erp.e0029,ERP:ap_invoice_entry,2012-05-14
erp.e0029,ERP:vendor_view,2012-05-14
ad.e0030,AD:user,2014-08-20
erp.e0030,ERP:ap_invoice_entry,2014-08-20
erp.e0030,ERP:vendor_view,2014-08-20
ad.e0031,AD:user,2024-09-15
erp.e0031,ERP:ap_invoice_entry,2024-09-17
erp.e0031,ERP:vendor_view,2024-09-17
ad.e0032,AD:user,2020-12-27
erp.e0032,ERP:ap_invoice_entry,2020-12-27
erp.e0032,ERP:vendor_view,2020-12-27
ad.e0033,AD:user,2020-03-18
erp.e0033,ERP:ap_invoice_entry,2020-03-18
erp.e0033,ERP:vendor_view,2020-03-18
ad.e0034,AD:user,2024-06-10
erp.e0034,ERP:ap_invoice_entry,2024-06-08
erp.e0034,ERP:vendor_view,2024-06-08
ad.e0035,AD:user,2018-09-10
erp.e0035,ERP:ap_invoice_entry,2018-09-09
erp.e0035,ERP:vendor_view,2018-09-09
ad.e0036,AD:user,2012-12-06
erp.e0036,ERP:ap_invoice_entry,2012-12-06
erp.e0036,ERP:vendor_view,2012-12-06
ad.e0037,AD:user,2012-10-25
erp.e0037,ERP:ap_invoice_entry,2012-10-24
erp.e0037,ERP:vendor_view,2012-10-24
ad.e0038,AD:user,2015-09-09
erp.e0038,ERP:ap_invoice_entry,2015-09-08
erp.e0038,ERP:vendor_view,2015-09-08
ad.e0039,AD:user,2024-05-18
erp.e0039,ERP:ap_invoice_entry,2024-05-19
erp.e0039,ERP:vendor_view,2024-05-19
ad.e0040,AD:user,2022-05-28
erp.e0040,ERP:ap_invoice_entry,2022-05-26
erp.e0040,ERP:vendor_view,2022-05-26
ad.e0041,AD:user,2019-02-09
erp.e0041,ERP:ap_invoice_entry,2019-02-08
erp.e0041,ERP:vendor_view,2019-02-08
ad.e0042,AD:user,2024-04-25
erp.e0042,ERP:ap_invoice_entry,2024-04-24
erp.e0042,ERP:vendor_view,2024-04-24
ad.e0043,AD:user,2018-03-27
erp.e0043,ERP:ap_invoice_entry,2018-03-25
erp.e0043,ERP:vendor_view,2018-03-25
ad.e0044,AD:user,2015-03-21
erp.e0044,ERP:ap_invoice_entry,2015-03-22
erp.e0044,ERP:vendor_view,2015-03-22
ad.e0045,AD:user,2014-11-20
erp.e0045,ERP:ap_invoice_entry,2014-11-19
erp.e0045,ERP:vendor_view,2014-11-19
ad.e0046,AD:user,2021-03-04
erp.e0046,ERP:ap_invoice_entry,2021-03-06
erp.e0046,ERP:vendor_view,2021-03-06
ad.e0047,AD:user,2014-03-23
erp.e0047,ERP:ap_invoice_entry,2014-03-22
erp.e0047,ERP:vendor_view,2014-03-22
ad.e0048,AD:user,2023-03-16
erp.e0048,ERP:ap_invoice_entry,2023-03-18
erp.e0048,ERP:vendor_view,2023-03-18
ad.e0049,AD:user,2018-05-04
erp.e0049,ERP:ap_invoice_entry,2018-05-03
erp.e0049,ERP:vendor_view,2018-05-03
ad.e0050,AD:user,2014-02-24
erp.e0050,ERP:ap_invoice_entry,2014-02-23
erp.e0050,ERP:vendor_view,2014-02-23
ad.e0051,AD:user,2025-02-12
erp.e0051,ERP:ap_invoice_entry,2025-02-13
erp.e0051,ERP:vendor_view,2025-02-13
ad.e0052,AD:user,2018-04-12
erp.e0052,ERP:ap_invoice_entry,2018-04-12
erp.e0052,ERP:vendor_view,2018-04-12
ad.e0053,AD:user,2016-10-29
erp.e0053,ERP:ap_invoice_entry,2016-10-27
erp.e0053,ERP:vendor_view,2016-10-27
ad.e0054,AD:user,2013-12-20
erp.e0054,ERP:ap_invoice_entry,2013-12-19
erp.e0054,ERP:vendor_view,2013-12-19
ad.e0055,AD:user,2016-11-21
erp.e0055,ERP:ap_invoice_entry,2016-11-20
erp.e0055,ERP:vendor_view,2016-11-20
ad.e0056,AD:user,2012-06-12
erp.e0056,ERP:ap_invoice_entry,2012-06-12
erp.e0056,ERP:vendor_view,2012-06-12
ad.e0057,AD:user,2012-11-12
erp.e0057,ERP:ap_invoice_entry,2012-11-12
erp.e0057,ERP:vendor_view,2012-11-12
ad.e0058,AD:user,2020-12-09
erp.e0058,ERP:ap_invoice_entry,2020-12-09
erp.e0058,ERP:vendor_view,2020-12-09
ad.e0059,AD:user,2017-03-09
erp.e0059,ERP:ap_invoice_entry,2017-03-08
erp.e0059,ERP:vendor_view,2017-03-08
ad.e0060,AD:user,2017-06-13
erp.e0060,ERP:ap_invoice_entry,2017-06-13
erp.e0060,ERP:vendor_view,2017-06-13
ad.e0061,AD:user,2023-11-01
erp.e0061,ERP:ap_invoice_entry,2023-10-31
erp.e0061,ERP:vendor_view,2023-10-31
ad.e0062,AD:user,2019-10-07
erp.e0062,ERP:ap_invoice_entry,2019-10-05
erp.e0062,ERP:vendor_view,2019-10-05
ad.e0063,AD:user,2017-07-12
erp.e0063,ERP:ap_invoice_entry,2017-07-12
erp.e0063,ERP:vendor_view,2017-07-12
ad.e0064,AD:user,2015-09-26
erp.e0064,ERP:ap_invoice_entry,2015-09-26
erp.e0064,ERP:vendor_view,2015-09-26
ad.e0065,AD:user,2016-03-02
erp.e0065,ERP:ap_invoice_entry,2016-03-04
erp.e0065,ERP:vendor_view,2016-03-04
ad.e0066,AD:user,2024-06-18
erp.e0066,ERP:ap_invoice_entry,2024-06-16
erp.e0066,ERP:vendor_view,2024-06-16
ad.e0067,AD:user,2025-02-14
erp.e0067,ERP:ap_invoice_entry,2025-02-16
erp.e0067,ERP:vendor_view,2025-02-16
ad.e0068,AD:user,2021-11-09
erp.e0068,ERP:ap_invoice_entry,2021-11-09
erp.e0068,ERP:vendor_view,2021-11-09
ad.e0069,AD:user,2025-02-17
erp.e0069,ERP:ap_invoice_entry,2025-02-19
erp.e0069,ERP:vendor_view,2025-02-19
ad.e0070,AD:user,2023-09-20
erp.e0070,ERP:ap_invoice_entry,2023-09-19
erp.e0070,ERP:vendor_view,2023-09-19
ad.e0071,AD:user,2021-09-30
erp.e0071,ERP:ap_invoice_entry,2021-09-30
erp.e0071,ERP:ap_invoice_approve,2021-09-30
erp.e0071,ERP:vendor_view,2021-09-30
ad.e0072,AD:user,2019-05-21
erp.e0072,ERP:ap_invoice_entry,2019-05-23
erp.e0072,ERP:ap_invoice_approve,2019-05-23
