claim_id,employee_id,department,date,category,amount,approver_id,status
EXP-000021,E0006,Finance,2025-07-01,Travel,195.62,E0207,Paid
EXP-000125,E0027,Finance,2025-07-01,Meals,58.06,E0206,Paid
EXP-000395,E0073,Finance,2025-07-01,Client entertainment,62.68,E0193,Paid
EXP-001070,E0193,Finance,2025-07-01,Client entertainment,71.9,E0192,Paid
EXP-001761,E0324,Human Resources,2025-07-01,Supplies,94.8,E0377,Paid
EXP-002486,E0457,IT,2025-07-01,Training,30.05,E0379,Paid
EXP-002577,E0474,IT,2025-07-01,Travel,23.48,E0379,Paid
EXP-002735,E0487,Operations,2025-07-01,Meals,114.85,E0937,Paid
EXP-002941,E0504,Operations,2025-07-01,Accommodation,199.82,E0933,Paid
EXP-003326,E0537,Operations,2025-07-01,Client entertainment,80.22,E0914,Paid
EXP-003402,E0543,Operations,2025-07-01,Training,46.67,E0914,Paid
EXP-003503,E0548,Operations,2025-07-01,Meals,260.45,E0909,Paid
EXP-003703,E0565,Operations,2025-07-01,Travel,60.7,E0917,Paid
EXP-003834,E0577,Operations,2025-07-01,Training,141.92,E0933,Paid
EXP-003888,E0581,Operations,2025-07-01,Travel,21.17,E0915,Paid
EXP-004226,E0613,Operations,2025-07-01,Meals,221.49,E0929,Paid
EXP-005763,E0745,Operations,2025-07-01,Supplies,149.49,E0938,Paid
EXP-005971,E0764,Operations,2025-07-01,Meals,170.98,E0934,Paid
EXP-006142,E0777,Operations,2025-07-01,Client entertainment,162.99,E0907,Paid
EXP-006550,E0810,Operations,2025-07-01,Supplies,510.99,E0937,Paid
EXP-006682,E0821,Operations,2025-07-01,Accommodation,611.32,E0920,Paid
EXP-006702,E0824,Operations,2025-07-01,Training,263.52,E0930,Paid
EXP-007141,E0858,Operations,2025-07-01,Training,56.68,E0917,Paid
EXP-007855,E0915,Operations,2025-07-01,Training,38.8,E0911,Paid
EXP-007913,E0921,Operations,2025-07-01,Client entertainment,107.56,E0916,Paid
EXP-008843,E0993,Sales,2025-07-01,Meals,134.51,E1048,Paid
EXP-008979,E1005,Sales,2025-07-01,Travel,31.97,E1068,Paid
EXP-009664,E1061,Sales,2025-07-01,Supplies,299.53,E1035,Paid
EXP-009675,E1062,Sales,2025-07-01,Accommodation,52.47,E0998,Paid
EXP-009816,E1074,Sales,2025-07-01,Travel,24.1,E1064,Paid
EXP-010005,E1089,Sales,2025-07-01,Supplies,99.04,E0959,Paid
EXP-010398,E1128,Facilities,2025-07-01,Supplies,192.96,E1121,Paid
EXP-010456,E1144,Facilities,2025-07-01,Meals,82.53,E1121,Paid
EXP-010595,E1171,Facilities,2025-07-01,Meals,323.69,E1121,Paid
EXP-010747,E1195,Facilities,2025-07-01,Travel,234.36,E1121,Paid
EXP-000255,E0047,Finance,2025-07-02,Travel,277.19,E0195,Paid
EXP-001300,E0243,Procurement,2025-07-02,Meals,40.1,E0274,Paid
EXP-001632,E0300,Human Resources,2025-07-02,Client entertainment,84.14,E0344,Paid
EXP-002294,E0421,IT,2025-07-02,Travel,285.53,E0379,Paid
EXP-002487,E0457,IT,2025-07-02,Supplies,244.85,E0379,Paid
EXP-002731,E0487,Operations,2025-07-02,Client entertainment,491.17,E0937,Paid
EXP-003181,E0524,Operations,2025-07-02,Supplies,58.88,E0903,Paid
EXP-003498,E0548,Operations,2025-07-02,Client entertainment,53.91,E0909,Paid
EXP-003872,E0580,Operations,2025-07-02,Supplies,106.39,E0912,Paid
EXP-003992,E0590,Operations,2025-07-02,Training,67.89,E0926,Paid
EXP-003993,E0590,Operations,2025-07-02,Accommodation,39.47,E0926,Paid
EXP-004174,E0610,Operations,2025-07-02,Supplies,162.86,E0907,Paid
EXP-004713,E0653,Operations,2025-07-02,Client entertainment,62.61,E0936,Paid
